Course_code,Course_name,Credits,Count,Section,Faculty Name,Schedule
DHS 314,An Introduction to Accessibility in the Global South,4,30+,T224-DHS 314,Amit Prakash,"[{'day': 'Thursday', 'room': 'R-110', 'start_time': '09:30', 'end_time': '11:00'}, {'day': 'Thursday', 'room': 'R-110', 'start_time': '15:45', 'end_time': '17:15'}]"
DHS 611,Research and Publication Ethics,2,30+,T224-DHS 611,Shrisha Rao,"[{'day': 'Tuesday', 'room': 'R-101', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-101', 'start_time': '14:00', 'end_time': '15:30'}]"
ECE 212,Analog Circuits,3,61,T224-ECE 212,Ananda Y R,"[{'day': 'Monday', 'room': 'R-101', 'start_time': '11:30', 'end_time': '13:00'}, {'day': 'Wednesday', 'room': 'R-101', 'start_time': '11:30', 'end_time': '13:00'}]"
ECE 212P,Analog Circuits Lab,1,61,T224-ECE 212P,Madhav Rao,"[{'day': 'Monday', 'room': 'A-317', 'start_time': '14:00', 'end_time': '16:00'}]"
ECE 303,Principles of Communication Systems,3,61,T224-ECE 303,Priyanka Das Jyotsna Bapat,"[{'day': 'Monday', 'room': 'R-101', 'start_time': '09:45', 'end_time': '11:15'}, {'day': 'Wednesday', 'room': 'R-101', 'start_time': '09:45', 'end_time': '11:15'}]"
ECE 303P,Principles of Communication Systems Lab,1,61,T224-ECE 303P,Jyotsna Bapat,"[{'day': 'Thursday', 'room': 'R-101', 'start_time': '09:30', 'end_time': '23:30'}]"
ECE 304,Signal Processing,3,61,T224-ECE 304,Vinod V Reddy,"[{'day': 'Tuesday', 'room': 'R-101', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Thursday', 'room': 'R-101', 'start_time': '15:45', 'end_time': '17:15'}]"
EGC 121,Computer Architecture,4,128,T224-EGC 121-Sec-A,Karthikeyan Vaidyanathan,"[{'day': 'Tuesday', 'room': 'R-203', 'start_time': '08:00', 'end_time': '09:30'}, {'day': 'Thursday', 'room': 'R-203', 'start_time': '08:00', 'end_time': '09:30'}]"
EGC 121,Computer Architecture,4,95,T224-EGC 121-Sec-B,Ananda Y R,"[{'day': 'Tuesday', 'room': 'A-307', 'start_time': '11:30', 'end_time': '13:00'}, {'day': 'Thursday', 'room': 'A-307', 'start_time': '11:30', 'end_time': '13:00'}]"
EGC 123,Computer Networks,4,128,T224-EGC 123-Sec-A,Ajay Bakre,"[{'day': 'Tuesday', 'room': 'A-106', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Thursday', 'room': 'A-106', 'start_time': '11:00', 'end_time': '12:30'}]"
EGC 123,Computer Networks,4,95,T224-EGC 123-Sec-B,Amrita Mishra,"[{'day': 'Monday', 'room': 'R-203', 'start_time': '11:30', 'end_time': '13:00'}, {'day': 'Wednesday', 'room': 'R-203', 'start_time': '11:30', 'end_time': '13:00'}]"
EGC 301,Operating Systems,3,193,T224-EGC 301,Badrinath R,"[{'day': 'Tuesday', 'room': 'A-106', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'A-106', 'start_time': '14:00', 'end_time': '15:30'}]"
EGC 301P,Operating Systems Lab,1,193,T224-EGC 301P,Thangaraju B,"[{'day': 'Friday', 'room': 'R-103', 'start_time': '11:30', 'end_time': '13:00'}]"
VLS 603,Electronic Systems Packaging,4,40+,T224-VLS 603,Kurian Polachan,"[{'day': 'Monday', 'room': 'A-303', 'start_time': '09:15', 'end_time': '10:45'}, {'day': 'Wednesday', 'room': 'A-303', 'start_time': '09:15', 'end_time': '10:45'}]"
VLS 731,VLSI Architecture Design,4,50+,T224-VLS 731,Madhav Rao,"[{'day': 'Tuesday', 'room': 'R-101', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Thursday', 'room': 'R-101', 'start_time': '11:00', 'end_time': '12:30'}]"
VLS 804,Analog Power ICs,4,30+,T224-VLS 804,Sakshi Arora,"[{'day': 'Monday', 'room': 'A-303', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Wednesday', 'room': 'A-303', 'start_time': '11:00', 'end_time': '12:30'}]"
